order_id,order_date,ship_date,days_to_ship,product_name,category,subcategory,city,province,quantity,unit_price,discount_pct,discounted_price,revenue,cost,profit,payment_method,order_status
AHS-1000,1-Apr-2024,4-Apr-2024,3,Chestnut Bedsheet,Bedding,Bed Sheets,Karachi,Sindh,1,2999,0,2999,2999,1500,1499,Bank Transfer,Delivered
AHS-1001,1-Apr-2024,4-Apr-2024,3,Nexus Bedsheet,Bedding,Bed Sheets,Islamabad,ICT,1,2650,0,2650,2650,1400,1250,Bank Transfer,Delivered
AHS-1002,1-Apr-2024,3-Apr-2024,2,Rosewood Quilt Cover Set 6Pcs,Bedding,Quilt Cover Sets,Faisalabad,Punjab,2,5999,0.1,5399,10798,6400,4398,COD,Delivered
AHS-1003,1-Apr-2024,3-Apr-2024,2,Coco Blossom Bedsheet,Bedding,Bed Sheets,Rawalpindi,Punjab,1,2999,0,2999,2999,1500,1499,COD,Returned
AHS-1004,2-Apr-2024,5-Apr-2024,3,Luxury Velvet Rug LV-315,Rugs,Luxury Velvet Rugs,Karachi,Sindh,2,9999,0.1,8999,17998,12400,5598,Bank Transfer,Delivered
AHS-1005,3-Apr-2024,7-Apr-2024,4,Chestnut Bedsheet,Bedding,Bed Sheets,Sialkot,Punjab,1,2999,0.1,2699,2699,1500,1199,Bank Transfer,Delivered
AHS-1006,3-Apr-2024,4-Apr-2024,1,Premium Bath Mat,Mats,Mats,Karachi,Sindh,1,1999,0.15,1699,1699,1000,699,JazzCash,Delivered
AHS-1007,3-Apr-2024,6-Apr-2024,3,Silva Bedsheet,Bedding,Bed Sheets,Lahore,Punjab,1,2650,0.15,2252,2252,1400,852,COD,Delivered
AHS-1008,4-Apr-2024,7-Apr-2024,3,Fleece Blanket Grey,Bedding,Blankets,Rawalpindi,Punjab,1,3500,0,3500,3500,1800,1700,COD,Delivered
AHS-1009,4-Apr-2024,6-Apr-2024,2,Coco Blossom Bedsheet,Bedding,Bed Sheets,Lahore,Punjab,1,2999,0.2,2399,2399,1500,899,COD,Delivered
AHS-1010,4-Apr-2024,7-Apr-2024,3,Jingle Bedsheet,Bedding,Bed Sheets,Karachi,Sindh,1,2650,0,2650,2650,1400,1250,COD,Delivered
AHS-1011,5-Apr-2024,6-Apr-2024,1,Luxury Velvet Rug LV-307,Rugs,Luxury Velvet Rugs,Karachi,Sindh,1,8999,0.2,7199,7199,5500,1699,COD,Delivered
AHS-1012,5-Apr-2024,9-Apr-2024,4,Coco Blossom Quilt Cover Set 6Pcs,Bedding,Quilt Cover Sets,Faisalabad,Punjab,1,5999,0.15,5099,5099,3200,1899,Bank Transfer,Delivered
AHS-1013,6-Apr-2024,9-Apr-2024,3,Moonlace Quilt Cover Set 6Pcs,Bedding,Quilt Cover Sets,Sialkot,Punjab,1,5999,0.1,5399,5399,3200,2199,EasyPaisa,Delivered
AHS-1014,6-Apr-2024,10-Apr-2024,4,Coco Blossom Bedsheet,Bedding,Bed Sheets,Multan,Punjab,1,2999,0,2999,2999,1500,1499,JazzCash,Delivered
AHS-1015,6-Apr-2024,10-Apr-2024,4,Water Absorbent Anti-Slip Mat Set,Mats,Mats,Peshawar,KPK,1,2099,0.15,1784,1784,1100,684,COD,Delivered
AHS-1016,7-Apr-2024,9-Apr-2024,2,Luxury Velvet Rug LV-309,Rugs,Luxury Velvet Rugs,Karachi,Sindh,1,8999,0.1,8099,8099,5500,2599,EasyPaisa,Returned
AHS-1017,7-Apr-2024,10-Apr-2024,3,Modern Rug MD-211,Rugs,Modern Rugs,Faisalabad,Punjab,1,8999,0,8999,8999,5500,3499,EasyPaisa,Delivered
AHS-1018,8-Apr-2024,11-Apr-2024,3,Night Petals Bedsheet,Bedding,Bed Sheets,Lahore,Punjab,1,2999,0.28,2159,2159,1500,659,JazzCash,Delivered
AHS-1019,8-Apr-2024,9-Apr-2024,1,Luxury Velvet Rug LV-307,Rugs,Luxury Velvet Rugs,Lahore,Punjab,1,8999,0,8999,8999,5500,3499,EasyPaisa,Cancelled
AHS-1020,8-Apr-2024,11-Apr-2024,3,Jingle Bedsheet,Bedding,Bed Sheets,Karachi,Sindh,1,2650,0,2650,2650,1400,1250,EasyPaisa,Delivered
AHS-1021,10-Apr-2024,12-Apr-2024,2,Terracotta Bloom Bedsheet,Bedding,Bed Sheets,Karachi,Sindh,1,2999,0.1,2699,2699,1500,1199,EasyPaisa,Delivered
AHS-1022,10-Apr-2024,14-Apr-2024,4,Chestnut Quilt Cover Set 6Pcs,Bedding,Quilt Cover Sets,Quetta,Balochistan,2,5999,0.15,5099,10198,6400,3798,COD,Delivered
AHS-1023,11-Apr-2024,14-Apr-2024,3,Modern Rug MD-202,Rugs,Modern Rugs,Peshawar,KPK,1,6999,0,6999,6999,4000,2999,COD,Delivered
AHS-1024,11-Apr-2024,13-Apr-2024,2,Kitchen Anti-Fatigue Mat,Mats,Mats,Karachi,Sindh,1,2499,0.1,2249,2249,1300,949,JazzCash,Delivered
AHS-1025,11-Apr-2024,14-Apr-2024,3,Lavender Stripe Bedsheet,Bedding,Bed Sheets,Islamabad,ICT,1,2999,0.1,2699,2699,1500,1199,Bank Transfer,Delivered
AHS-1026,11-Apr-2024,13-Apr-2024,2,Premium Bath Mat,Mats,Mats,Lahore,Punjab,2,1999,0.15,1699,3398,2000,1398,COD,Delivered
AHS-1027,12-Apr-2024,13-Apr-2024,1,Luxury Velvet Rug LV-310,Rugs,Luxury Velvet Rugs,Lahore,Punjab,1,8999,0.15,7649,7649,5500,2149,JazzCash,Delivered
AHS-1028,12-Apr-2024,14-Apr-2024,2,Jingle Bedsheet,Bedding,Bed Sheets,Lahore,Punjab,1,2650,0.2,2120,2120,1400,720,COD,Delivered
